epoch,train_loss,val_loss,train_mae,val_mae
1,0.037498291581869125,0.013129051774740219,0.14228978753089905,0.07897769659757614
2,0.011931133456528187,0.00883227214217186,0.08610645681619644,0.07414451241493225
3,0.009402096271514893,0.008104532025754452,0.07600180059671402,0.07207295298576355
4,0.008252282626926899,0.007125553674995899,0.0694010779261589,0.06583182513713837
5,0.00687570683658123,0.007759927771985531,0.06403563916683197,0.06489311158657074
6,0.006940771825611591,0.0068490696139633656,0.06367659568786621,0.06335727125406265
7,0.006062626838684082,0.007370669394731522,0.06062004715204239,0.06256520003080368
8,0.006447534076869488,0.00983016099780798,0.06184312328696251,0.0688965767621994
9,0.0067466869950294495,0.008907250128686428,0.06251358240842819,0.0642804279923439
10,0.005672626197338104,0.0069432188756763935,0.05862875655293465,0.07110324501991272
11,0.005771564785391092,0.006226866971701384,0.05853629112243652,0.06357958912849426
12,0.00490922387689352,0.006526637822389603,0.05412821099162102,0.057000044733285904
13,0.0053466991521418095,0.006982896011322737,0.05695781856775284,0.05745944753289223
14,0.004862915258854628,0.006563411559909582,0.052717167884111404,0.05856513977050781
15,0.005169493146240711,0.009198577143251896,0.05498446151614189,0.06432467699050903
16,0.004393945913761854,0.01367894560098648,0.05058984085917473,0.08392626792192459
17,0.0052138445898890495,0.008879563771188259,0.05656755715608597,0.06358352303504944
18,0.004386727698147297,0.007732022553682327,0.051269739866256714,0.05701492726802826
19,0.003791059600189328,0.010368946939706802,0.04690280184149742,0.07253370434045792
20,0.003924697171896696,0.009492103010416031,0.04675054922699928,0.06676652282476425
21,0.003872007830068469,0.008980552665889263,0.04833298549056053,0.06255318224430084
22,0.0033290463034063578,0.007634671404957771,0.04327905923128128,0.05601456016302109
23,0.0036142116878181696,0.007962631061673164,0.046677421778440475,0.056927721947431564
24,0.003649455728009343,0.008545873686671257,0.046336669474840164,0.059317365288734436
25,0.0035229315981268883,0.008305958472192287,0.04689576104283333,0.05910710617899895
26,0.003575820941478014,0.009097643196582794,0.0454779677093029,0.06234216317534447
